osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
929701841,-23.5388362,-46.6197286,3,0.0022338049143708115,0.029095096579369654,0.0028618891575570406,-0.0005131309735213831,0.07609631930206648,,,POINT (-46.6197286 -23.5388362)
929701842,-23.5388113,-46.6190585,3,0.0022338049143708115,0.030009770312672972,0.0035615483719190857,0.0028210332453555875,0.07609631930206648,,,POINT (-46.6190585 -23.5388113)
929701843,-23.538354,-46.6197185,3,0.0022338049143708115,0.02823453072507307,0.0014342736472053026,-0.0004990597243440004,0.07609631930206648,,,POINT (-46.6197185 -23.538354)
929701844,-23.5383872,-46.6204749,3,0.0037230081906180195,0.0319735498454378,0.006417889082098157,-0.0002790255737080089,0.07609631930206648,,,POINT (-46.6204749 -23.5383872)
929701846,-23.5379669,-46.6197103,3,0.0022338049143708115,0.031972709254701276,0.0017517373113481653,-0.00041062245540850244,0.07609631930206648,,,POINT (-46.6197103 -23.5379669)
929726048,-23.5507536,-46.6232595,3,0.004467609828741623,0.03989194849836227,0.021966769200182455,0.00027646649413546833,0.07609631930206648,,,POINT (-46.6232595 -23.5507536)
929726106,-23.5518055,-46.6223317,1,0.0014892032762472078,0.036783798376416196,0.0,-8.381723778561685e-05,0.07609631930206648,,,POINT (-46.6223317 -23.5518055)
929726170,-23.5372656,-46.6213197,1,0.0014892032762472078,0.029079791060019424,0.0,-0.0005011009282548298,0.07609631930206648,,,POINT (-46.6213197 -23.5372656)
929751310,-23.5365177,-46.6271828,3,0.004467609828741623,0.035053494607744054,0.003086505551944273,0.0010763590860659359,0.07609631930206648,,,POINT (-46.6271828 -23.5365177)
929751328,-23.5362101,-46.6270421,3,0.004467609828741623,0.0350494536261765,0.0021838421788679956,0.000942219938621192,0.07609631930206648,,,POINT (-46.6270421 -23.5362101)
1067511668,-23.534183,-46.6370516,3,0.0022338049143708115,0.03643651961283913,0.0042256819105478535,0.0006761974113143451,0.07609631930206648,traffic_signals,,POINT (-46.6370516 -23.534183)
1067511780,-23.5342897,-46.63639,3,0.0022338049143708115,0.03366452623707242,0.00437515331989412,0.00013120881965492025,0.07609631930206648,,,POINT (-46.63639 -23.5342897)
1067511784,-23.5343039,-46.636765,4,0.0029784065524944155,0.03583361209874321,0.002163201121646577,0.0003344378340116367,0.07609631930206648,traffic_signals,,POINT (-46.636765 -23.5343039)
1068027726,-23.5348975,-46.639954,3,0.0029784065524944155,0.03598810232654905,0.010704249884642594,0.0007774845619895007,0.07609631930206648,,,POINT (-46.639954 -23.5348975)
1068077341,-23.533942,-46.6267596,4,0.0029784065524944155,0.03951861772668721,0.012904444343819793,0.00027560931200435216,0.07609631930206648,traffic_signals,,POINT (-46.6267596 -23.533942)
1068077355,-23.531805,-46.6291999,3,0.0022338049143708115,0.03676044923135968,0.0035938710575510817,2.0624604343641487e-05,0.07609631930206648,,,POINT (-46.6291999 -23.531805)
1068077401,-23.5318286,-46.6365222,3,0.0014892032762472078,0.03314868022636657,0.0007140851775447677,-0.0004428552503569239,0.07609631930206648,,,POINT (-46.6365222 -23.5318286)
1113784382,-23.5529992,-46.6347008,4,0.004467609828741623,0.04432503341914467,0.035024373623514175,0.0015469838932367858,0.07609631930206648,traffic_signals,,POINT (-46.6347008 -23.5529992)
1113784886,-23.5529628,-46.6347994,3,0.0029784065524944155,0.04555536192392389,0.027995892579520454,0.00033892364256902775,0.07609631930206648,traffic_signals,,POINT (-46.6347994 -23.5529628)
1243571522,-23.5549833,-46.6353183,1,0.0014892032762472078,0.03769008404627242,0.0,-6.131009160603018e-05,0.07609631930206648,turning_circle,,POINT (-46.6353183 -23.5549833)
1420074010,-23.5575884,-46.6220784,3,0.0037230081906180195,0.03617759227513899,0.0019502647217086665,-0.000225433929516054,0.07609631930206648,,,POINT (-46.6220784 -23.5575884)
1420074013,-23.553534,-46.6222318,3,0.004467609828741623,0.03762012998178217,0.013351358891684977,0.0013330213231796196,0.07609631930206648,,,POINT (-46.6222318 -23.553534)
1420074023,-23.5591142,-46.6243183,4,0.0029784065524944155,0.03421329944075486,0.003390588338288676,-8.617244097502318e-05,0.07609631930206648,traffic_signals,,POINT (-46.6243183 -23.5591142)
1420074024,-23.5583814,-46.6225175,3,0.0022338049143708115,0.03460071531583795,0.011370433211674377,-8.502865628564714e-05,0.07609631930206648,,,POINT (-46.6225175 -23.5583814)
1420074026,-23.5563917,-46.6227648,3,0.0022338049143708115,0.038643384128914625,0.0049979597803468745,0.0010657129159587727,0.07609631930206648,,,POINT (-46.6227648 -23.5563917)
